 Kauppatori 9 
 Urhonkatu 1 
 Keskusta 7 
 Kirjasto 2 
 Lounaispuisto 2 
 Yliopisto 2 
 Purokatu 2 
 Keljonkatu 2 
 Tarhamäki 2 
 Tervala E 
 Teivaalantie 2 
 Roninmäki 2 
 Myllypolku 2 
 Tuulimyllyntie 2 
 Ylämyllyjärvi L 
 Kolmisoppinen L 
 Lähteelä L 
 TV-masto L 
 Kotanen L 
 Kitumäki L 
 Kitukangas L 
 Isoranta L 
 Ronsu L 
 Jaakontie L 
 Isolahti koulu 2 
 Pukkimäentie L 
 Saukkolahdentie 793 L 
 Pitkäkorventie L 
 Tervakangas L 
 Myllyntaus L 
 Myllymäki L 
 Kuusimäentie E 
 Kuusjärventie E 
 Saukontie E 
 Sutolantie E 
 Rietulantie E 
 Majalanmäki E 
 Patajärventie E 
 Tikkala E 
